ar;veikindahlutfall;starfsmannavelta;hjukrvelta;laeknavelta;sjukralvelta;legudagar;atvik;alvarleg;stodugildi;launakostnadur;f1;f2;f3;f4;f5;bmt_legudagar;lengd_legu_bmt_ambulant;fjoldi_rum;medalfjoldi_sjukl;stg_hjukr;stg_laekna;stg_sjukral;stg_sameyki;stg_salfr;stg_sjukrathj;stg_felrad;stg_lyfjafr;stg_idjuthj;stg_ljosmaedur;ofbeldisatvik_starfs;stg_skrifstofusvid;stg_medferdarsvid;stg_adgerdasvid;stg_thjonustusvid;drg;hlutf_stjornendur;hlutf_stodtj
2006;;;;;;;;;3843;;;;;;;;;;;910;469;435;;;;;;;;;;;;;;;
2007;6,6;15,7;11,6;4,1;16,2;245155;;;3884;24051900;;;;;;;;836;;917;484;434;;;;;;;;;;;;;;;
2008;6,7;14,3;11,6;5,3;15,5;232570;;;3872;26103912;;;;;;;;788;637;944;488;443;;;;;;;;;;;;;;0,0592;0,1632
2009;6,5;11,6;8,6;4,4;15,5;211917;;;3899;26701052;;;;;;;;718;594;1001;484;449;;;;;;;;;;;;;50530;0,05736;0,1552
2010;6,5;12;8,1;3,3;14,2;202605;;;3648;25494474;;;;;;;;677;559;980;458;418;859;49;40;44;18;27;83;273;;;;;45912;0,0588;0,1492
2011;6,6;10,8;8,6;9,4;13,9;209587;;;3657;27061000;;;;;;;;659;582;1016;465;401;867;47;40;40;17;31;82;280;;;;;48994;0,0599;0,1411
2012;6,8;11,1;10,0;8,5;12,1;213264;2815;;3643;28810329;4884;43574;34358;12610;856;;;649;583;997;473;395;851;48;42;39;18;32;86;294;;;;;45232;0,0586;0,1417
2013;6,8;11,1;9,7;7,2;11,8;215357;2982;;3667;31857791;3201;39565;41765;17697;1533;;;650;589;998;471;392;851;49;44;41;19;35;88;292;;;;;44232;0,0545;0,1421
2014;6,4;10,4;8,9;8,5;12,5;219821;2957;;3752;34720000;3546;37646;44980;20120;1818;;3.8;674;603;1043;481;411;847;51;49;42;19;38;90;318;;;;;42292;0,0526;0,1393
2015;6,5;11,7;10,9;9,6;12,6;224117;3647;;3739;38645000;3066;36014;44761;18238;1397;3271;4.2;667;615;1043;514;404;827;51;49;42;20;35;88;339;;;;;41756;0,0531;0,1410
2016;7,1;12,2;10,0;7,9;13,1;228660;6176;;3951;43552000;2971;33772;45832;22094;1888;4413;4.2;687;627;1088;540;432;868;52;55;42;20;38;97;237;;;;;44306;0,0526;0,1359
2017;7,1;15,1;12,2;9,8;19,8;224676;4097;17;4073;48415000;2,6;30,6;44,1;21,3;1,5;4772;4.9;669;616;1112;571;434;880;54;55;42;24;38;97;389;;;;;45045;0,0517;0,1349
2018;7,3;16,0;11,7;8,6;13,3;220050;4325;14;4221;53863000;1,9;26,2;45,7;23,8;2,4;6643;4.8;631;603;1171;599;404;919;60;52;42;29;39;95;435;257;1531;1547;886;42176;0,0501;0,1346
2019;7,8;14,3;10,2;7,0;15,8;219187;4423;12;4362;57605000;1,9;22,6;45,6;26,7;3,2;8475;4.7;627;601;1199;619;397;952;67;49;46;35;34;94;454;263;1595;1581;924;42826;0,0489;0,1355
2020;7,5;13,8;11,5;11,5;14,0;204840;4552;10;4461;61524000;1,6;20,9;43,9;29,9;3,6;3597;4.5;658;560;1245;633;396;969;67;48;45;37;29;94;531;381;1544;1572;964;40506;0,0467;0,1350
2021;8,4;15,8;11,3;10,2;18,4;214584;5188;17;4696;65529000;1,3;18,4;43,2;32,9;4,3;5283;4.9;654;588;1334;629;427;1022;61;52;46;40;29;99;378;458;1555;1678;1006;44116;;
2022;10,1;15,5;11,6;9,3;15,7;218661;6031;8;4882;75854433;368;4009;9628;11084;2112;8787;5.7;632;602;1355;640;441;1098;49;49;39;43;24;95;444;458;1592;1770;1062;;;